Metadata
Fiber 1,Fiber 2,Fiber 3,Fiber 4
1553.74426,1556.30594,1551.25928,1550.6018
1502319972.22976,1552.97782,521.924

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm)
Fiber 4,1502321942.7627466,248.813,1550.60336,-19.202


Fiber 1,1502322005.262834,248.81650000000002,1553.74562,-10.48
Fiber 2,1502322005.262834,248.81650000000002,1556.3076,-9.366
Fiber 3,1502322005.262834,248.81650000000002,1551.25896,-15.316
Fiber 4,1502322005.262834,248.81650000000002,1550.60312,-19.274


Fiber 1,1502322068.792923,248.811,1553.74468,-10.492
Fiber 2,1502322068.792923,248.811,1556.30592,-9.362
Fiber 3,1502322068.792923,248.811,1551.26016,-15.402
Fiber 4,1502322068.792923,248.811,1550.60228,-19.262


Fiber 1,1502322131.7730112,248.809,1553.74534,-10.514
Fiber 2,1502322131.7730112,248.809,1556.3072,-9.442
Fiber 3,1502322131.7730112,248.809,1551.26064,-15.378
Fiber 4,1502322131.7730112,248.809,1550.60288,-19.23


Fiber 1,1502322194.7730994,248.801,1553.74474,-10.544
Fiber 2,1502322194.7730994,248.801,1556.30624,-9.382
Fiber 3,1502322194.7730994,248.801,1551.26074,-15.388
Fiber 4,1502322194.7730994,248.801,1550.60278,-19.208


Fiber 1,1502322257.7731876,248.7935,1553.74466,-10.53
Fiber 2,1502322257.7731876,248.7935,1556.30646,-9.41
Fiber 3,1502322257.7731876,248.7935,1551.25946,-15.338
Fiber 4,1502322257.7731876,248.7935,1550.60256,-19.282


Fiber 1,1502322321.2732763,248.789,1553.74472,-10.48
Fiber 2,1502322321.2732763,248.789,1556.30646,-9.442
Fiber 3,1502322321.2732763,248.789,1551.25944,-15.35
Fiber 4,1502322321.2732763,248.789,1550.603,-19.232


Fiber 1,1502322383.783364,248.78949999999998,1553.74526,-10.478
Fiber 2,1502322383.783364,248.78949999999998,1556.30722,-9.408
Fiber 3,1502322383.783364,248.78949999999998,1551.26056,-15.38
Fiber 4,1502322383.783364,248.78949999999998,1550.60148,-19.232


Fiber 1,1502322446.2734516,248.7905,1553.74566,-10.528
Fiber 2,1502322446.2734516,248.7905,1556.30556,-9.416
Fiber 3,1502322446.2734516,248.7905,1551.2602,-15.334
Fiber 4,1502322446.2734516,248.7905,1550.60278,-19.234


Fiber 1,1502322508.773539,248.79399999999998,1553.74524,-10.51
Fiber 2,1502322508.773539,248.79399999999998,1556.30634,-9.35
Fiber 3,1502322508.773539,248.79399999999998,1551.2598,-15.4
Fiber 4,1502322508.773539,248.79399999999998,1550.60244,-19.294


Fiber 1,1502322571.773627,248.792,1553.74542,-10.54
Fiber 2,1502322571.773627,248.792,1556.3065,-9.42
Fiber 3,1502322571.773627,248.792,1551.25918,-15.382
Fiber 4,1502322571.773627,248.792,1550.60296,-19.192


Fiber 1,1502322634.7837152,248.7945,1553.7451,-10.486
