Metadata
Fiber 1,Fiber 2,Fiber 3,Fiber 4
1553.7432,1556.30502,1551.84144,1550.59868
1501109679.620152,1553.1220850000002,248.843

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm)
Fiber 2,1501114866.2618787,248.87349999999998,1556.3043,-9.402
Fiber 3,1501114866.2618787,248.87349999999998,1551.84098,-15.602
Fiber 4,1501114866.2618787,248.87349999999998,1550.59922,-19.51


Fiber 1,1501114928.7719662,248.8795,1553.74354,-10.506
Fiber 2,1501114928.7719662,248.8795,1556.30438,-9.34
Fiber 3,1501114928.7719662,248.8795,1551.84002,-15.576
Fiber 4,1501114928.7719662,248.8795,1550.59868,-19.586


Fiber 1,1501114992.2720551,248.88049999999998,1553.74424,-10.496
Fiber 2,1501114992.2720551,248.88049999999998,1556.3057,-9.428
Fiber 3,1501114992.2720551,248.88049999999998,1551.84138,-15.562
Fiber 4,1501114992.2720551,248.88049999999998,1550.59882,-19.554


Fiber 1,1501115054.7721426,248.87650000000002,1553.74392,-10.442
Fiber 2,1501115054.7721426,248.87650000000002,1556.30516,-9.352
Fiber 3,1501115054.7721426,248.87650000000002,1551.8423,-15.566
Fiber 4,1501115054.7721426,248.87650000000002,1550.59992,-19.526


Fiber 1,1501115117.2722301,248.8755,1553.74372,-10.494
Fiber 2,1501115117.2722301,248.8755,1556.30562,-9.42
Fiber 3,1501115117.2722301,248.8755,1551.84198,-15.598
Fiber 4,1501115117.2722301,248.8755,1550.59888,-19.544


Fiber 1,1501115179.7723176,248.876,1553.74404,-10.524
Fiber 2,1501115179.7723176,248.876,1556.30564,-9.38
Fiber 3,1501115179.7723176,248.876,1551.84202,-15.524
Fiber 4,1501115179.7723176,248.876,1550.59864,-19.574


Fiber 1,1501115242.2824051,248.87,1553.74346,-10.498
Fiber 2,1501115242.2824051,248.87,1556.30484,-9.394
Fiber 3,1501115242.2824051,248.87,1551.84188,-15.574
